,Unnamed: 0,station,channel,start,stop,confidence,Notes
349,349,ILL11,HHZ,2021-09-19 06:38:00+00:00,2021-09-19 07:51:00+00:00,high,
350,350,ILL12,EHZ,2021-09-19 06:23:00+00:00,2021-09-19 07:28:00+00:00,high,
351,351,ILL13,EHZ,2021-09-19 06:22:00+00:00,2021-09-19 07:36:00+00:00,high,
352,352,ILL14,EHZ,2021-09-19 05:56:00+00:00,2021-09-19 07:41:00+00:00,high,
353,353,ILL15,EHZ,2021-09-19 05:57:00+00:00,2021-09-19 07:40:00+00:00,high,
354,354,ILL16,EHZ,2021-09-19 05:51:00+00:00,2021-09-19 07:27:00+00:00,high,
355,355,ILL17,EHZ,2021-09-19 05:47:00+00:00,2021-09-19 07:20:00+00:00,high,
356,356,ILL11,HHZ,2021-09-19 09:03:00+00:00,2021-09-19 10:45:00+00:00,med,
357,357,ILL12,EHZ,2021-09-19 08:39:00+00:00,2021-09-19 10:25:00+00:00,med,
358,358,ILL13,EHZ,2021-09-19 08:40:00+00:00,2021-09-19 10:31:00+00:00,med,
359,359,ILL15,EHZ,2021-09-19 08:24:08+00:00,2021-09-19 09:42:28+00:00,low,
360,360,ILL16,EHZ,2021-09-19 08:24:08+00:00,2021-09-19 09:42:28+00:00,low,
361,361,ILL17,EHZ,2021-09-19 08:24:08+00:00,2021-09-19 09:42:28+00:00,med,
362,362,ILL17,EHZ,2021-09-30 09:24:58+00:00,2021-09-30 09:32:28+00:00,low,Seems like to strong signals of a rockfall in the upper catchment.
363,363,ILL18,EHZ,2022-04-06 06:46:38+00:00,2022-04-06 07:36:32+00:00,low,"Could be upper catchment activity, but highly uncertain (no other station available and very weak)."
364,364,ILL14,EHZ,2022-05-12T08:05:06+00:00,2022-05-12T08:09:16+00:00,low,Likely upper catchment activity.
365,365,ILL14,EHZ,2022-05-12T11:16:46+00:00,2022-05-12T11:25:56+00:00,low,"Very weak signals, perhaps upper catchment activity."
366,366,ILL14,EHZ,2022-05-14T07:06:46+00:00,2022-05-14T07:10:06+00:00,low,Likely upper catchment activity.
367,367,ILL17,EHZ,2022-05-14T12:02:42+00:00,2022-05-14T12:09:22+00:00,low,"Clear signal, likely upper catchment activity."
368,368,ILL17,EHZ,2022-05-15T17:21:52+00:00,2022-05-15T17:51:52+00:00,low,Thunder signal mixed with some upper catchment activity.
369,369,ILL14,EHZ,2022-05-16T13:09:16+00:00,2022-05-16T13:13:26+00:00,low,Perhaps some upper catchment activity.
370,370,ILL14,EHZ,2022-05-16T13:29:16+00:00,2022-05-16T13:35:06+00:00,low,Perhaps some upper catchment activity.
371,371,ILL18,EHZ,2022-05-17T13:55:15+00:00,2022-05-17T14:11:05+00:00,low,"Could perhaps be upper catchment activity, but very unclear."
372,372,ILL18,EHZ,2022-05-17T15:59:25+00:00,2022-05-17T16:15:15+00:00,low,"Could perhaps be upper catchment activity, but very unclear."
373,373,ILL14,EHZ,2022-05-17T18:30:06+00:00,2022-05-17T18:35:06+00:00,low,"Could perhaps be upper catchment activity, but very unclear."
374,374,ILL18,EHZ,2022-05-17T19:29:25+00:00,2022-05-17T19:45:15+00:00,low,"Could perhaps be upper catchment activity, but very unclear."
375,375,ILL18,EHZ,2022-05-19T14:41:05+00:00,2022-05-19T14:56:05+00:00,low,"Could perhaps be upper catchment activity, but very unclear."
376,376,ILL17,EHZ,2022-06-01T11:15:12+00:00,2022-06-01T11:25:12+00:00,low,Likely big rockfall in upper catchment.
377,377,ILL14,EHZ,2022-06-02T00:11:46+00:00,2022-06-02T00:15:56+00:00,low,"Could perhaps be upper catchment activity, but very unclear."
378,378,ILL17,EHZ,2022-06-02T01:09:22+00:00,2022-06-02T01:34:22+00:00,low,"Could perhaps be upper catchment activity, but very unclear."
379,379,ILL12,EHZ,2022-06-02T01:34:12+00:00,2022-06-02T02:05:52+00:00,low,Looks like something coming down from Sagenschleif. But suspicious: nothing on other stations.
380,380,ILL11,HHZ,2022-06-02T02:59:08+00:00,2022-06-02T03:25:48+00:00,low,"Could be some discharge, but not very clear."
381,381,ILL11,HHZ,2022-06-05 11:22:00+00:00,2022-06-05 12:29:00+00:00,high,
382,382,ILL12,EHZ,2022-06-05 11:20:00+00:00,2022-06-05 11:57:00+00:00,high,
383,383,ILL13,EHZ,2022-06-05 11:20:00+00:00,2022-06-05 12:27:00+00:00,high,
384,384,ILL14,EHZ,2022-06-05 11:07:00+00:00,2022-06-05 11:59:00+00:00,high,
385,385,ILL17,EHZ,2022-06-05 11:04:00+00:00,2022-06-05 12:00:00+00:00,high,
386,386,ILL14,EHZ,2022-06-14 00:16:04+00:00,2022-06-14 00:20:14+00:00,low,Likely upper catchment activity.
387,387,ILL14,EHZ,2022-06-14 00:21:54+00:00,2022-06-14 00:36:54+00:00,low,Likely upper catchment activity.
388,388,ILL17,EHZ,2022-06-24 11:43:32+00:00,2022-06-24 12:42:42+00:00,low,"Could perhaps be upper catchment activity, but rather unclear."
389,389,ILL18,EHZ,2022-06-27 15:12:25+00:00,2022-06-27 15:55:09+00:00,low,"Perhaps some upper catchment activity, but several high-amplitude thunder signals."
390,390,ILL17,EHZ,2022-06-28 15:05:12+00:00,2022-06-28 15:41:52+00:00,low,"Could perhaps be upper catchment activity, but unclear."
391,391,ILL18,EHZ,2022-06-28 15:08:41+00:00,2022-06-28 15:23:41+00:00,low,"Could perhaps be upper catchment activity, but unclear."
392,392,ILL18,EHZ,2022-06-28 15:59:31+00:00,2022-06-28 16:21:11+00:00,low,"Likely activity in upper catchment, close to ILL18."
393,393,ILL18,EHZ,2022-06-28 16:32:51+00:00,2022-06-28 17:28:41+00:00,low,"Likely activity in upper catchment, close to ILL18."
394,394,ILL12,EHZ,2022-06-28 16:38:56+00:00,2022-06-28 18:07:16+00:00,low,Perhaps some minor discharge but no debris flow.
395,395,ILL17,EHZ,2022-06-28 16:44:22+00:00,2022-06-28 17:01:02+00:00,low,"Could perhaps be upper catchment activity, but unclear."
396,396,ILL12,EHZ,2022-06-30 20:33:00+00:00,2022-06-30 21:08:00+00:00,high,
397,397,ILL13,EHZ,2022-06-30 20:35:00+00:00,2022-06-30 21:24:00+00:00,high,
398,398,ILL14,EHZ,2022-06-30 20:17:00+00:00,2022-06-30 21:18:00+00:00,high,
399,399,ILL15,EHZ,2022-06-30 20:12:00+00:00,2022-06-30 20:57:00+00:00,high,
400,400,ILL16,EHZ,2022-06-30 20:18:00+00:00,2022-06-30 21:16:00+00:00,high,
401,401,ILL17,EHZ,2022-06-30 20:12:00+00:00,2022-06-30 21:16:00+00:00,high,
402,402,ILL18,EHZ,2022-06-30 20:21:00+00:00,2022-06-30 21:16:00+00:00,high,
403,403,ILL18,EHZ,2022-07-03 19:20:10+00:00,2022-07-03 20:47:22+00:00,low,"Could be rock falls, thunder strikes or other type of upper catchment activity; not clear."
404,404,ILL17,EHZ,2022-07-04 05:11:02+00:00,2022-07-04T05:21:02+00:00,low,"Could perhaps be upper catchment activity, but rather unclear."
