,station,channel,start,stop,confidence,Notes
227,ILL13,EHZ,2020-08-30T07:53:00.000000Z,2020-08-30T09:01:00.000000Z,high,
228,ILL11,HHZ,2020-08-30T08:00:00.000000Z,2020-08-30T08:52:00.000000Z,high,
229,ILL16,EHZ,2020-09-01T00:00:02.000000Z,2020-09-01T00:16:42.000000Z,low,slope activity
230,ILL18,EHZ,2021-05-01T17:55:32.000000Z,2021-05-01T19:58:31.000000Z,low,"Perhaps a rockslide, but only ILL18 active, so hard to confirm."
231,ILL13,EHZ,2021-05-11T03:25:00.000000Z,2021-05-11T13:52:00.000000Z,med,
232,ILL11,HHZ,2021-05-11T04:02:00.000000Z,2021-05-11T14:07:00.000000Z,med,
233,ILL18,EHZ,2021-05-11T13:52:00.000000Z,2021-05-11T16:58:00.000000Z,high,
234,ILL13,EHZ,2021-05-11T14:09:00.000000Z,2021-05-11T16:38:00.000000Z,high,
235,ILL11,HHZ,2021-05-11T14:09:00.000000Z,2021-05-11T16:40:00.000000Z,high,
236,ILL11,HHZ,2021-05-11T16:58:05.000000Z,2021-05-11T17:23:05.000000Z,low,Tail behind a debris flow that occurred around 15:00.
237,ILL13,EHZ,2021-05-12T02:59:00.000000Z,2021-05-12T09:34:00.000000Z,low,
238,ILL11,HHZ,2021-05-12T03:58:00.000000Z,2021-05-12T09:38:00.000000Z,low,
239,ILL18,EHZ,2021-05-16T15:46:00.000000Z,2021-05-16T20:36:00.000000Z,high,
240,ILL13,EHZ,2021-05-16T16:15:00.000000Z,2021-05-16T20:10:00.000000Z,high,
241,ILL11,HHZ,2021-05-16T16:21:00.000000Z,2021-05-16T20:30:00.000000Z,high,
242,ILL17,EHZ,2021-05-21T22:40:00.000000Z,2021-05-22T00:38:00.000000Z,high,
243,ILL14,EHZ,2021-05-21T22:40:00.000000Z,2021-05-22T00:38:00.000000Z,high,
244,ILL18,EHZ,2021-05-21T22:43:00.000000Z,2021-05-22T00:20:00.000000Z,high,
245,ILL13,EHZ,2021-05-21T22:49:00.000000Z,2021-05-22T00:28:00.000000Z,high,
246,ILL11,HHZ,2021-05-21T23:11:00.000000Z,2021-05-22T00:25:00.000000Z,high,
247,ILL14,EHZ,2021-05-23T00:07:57.000000Z,2021-05-23T00:12:57.000000Z,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally.	"
248,ILL14,EHZ,2021-05-23T00:17:57.000000Z,2021-05-23T00:21:17.000000Z,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
